difficulty,text,answers
1,You are shown a sequence of numbers: 7 14 21 28 ?,35
1,Find the odd one out: Apple Banana Carrot Mango,Carrot
1,A word is spelled BACKWARDS in a mirror. What will the third letter from the left look like?,C
1,A clock shows 3:15. What is the angle between the hour hand and the minute hand?,7.5°; 7.5 degrees
1,A bus has 48 seats. 12 are empty. What percentage of seats are occupied?,75%
1,A man walks 2 km north then 3 km east. How far is he from his starting point?,5 km
1,Rearrange these letters to form a meaningful word: RTAEHW,WATHER 
1,If all cats are animals and some animals are dogs which conclusion is valid?,Some animals are cats
1,Which sequence is correct? AZ B CX ?,DW
1,If BOOK is coded as CQQM then PAGE is coded as,RCKI
2,Solve: 45 ÷ 9 × 3,15
2,The square root of 784 is,28
2,A train travels 120 km in 2 hours. What is its average speed?,60 km/h
2,A shopkeeper bought an article for ₹400 and sold it for ₹480. What is the profit percentage?,20%
2,Simplify: (3/4) × (8/9),2/3
2,A person spends 1/3 of salary on rent 1/4 on food and saves the rest. If salary = ₹12000 how much does he save?,5000
2,What is 15% of 640?,96
2,If 3x + 2 = 11 find x,3
2,The perimeter of a rectangle is 60 cm. If its length is 20 cm what is its breadth?,10 cm
2,A sum of ₹5000 earns simple interest of ₹1000 in 5 years. What is the rate of interest?,4%
3,You are driving and suddenly see a child running across the road. What is the first thing you should do?,Apply brakes immediately
3,You are in a crowded lift and someone faints. What should you do first?,Provide fresh air and check if conscious
3,You are hiking and your phone’s battery dies. You need to return before dark. What is the best decision?,Retrace your steps back
3,In a fire situation the safest action is,Crawl low and move towards exit
3,You are working in a team and two members are arguing. How should you handle it?,Calmly mediate between them
3,You find a wallet on the street with ID and money. What will you do?,Return it to the rightful owner
3,You are lost in a forest and it’s getting dark. What should you prioritize?,Finding shelter
3,Your friend is choking while eating. What is the correct response?,Perform the Heimlich maneuver
3,In an exam you don’t know the answer to a question. What is the best approach?,Skip and move on
3,You are flying in an airplane and there is turbulence. What should you do?,Fasten seatbelt and stay calm
